t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
3.300000,0.200000,0.106024,0.002957,12.247423,25.006800,149.809658,0.034024,0.033990,0.033990,0.000000
3.305000,0.200000,0.106039,0.002959,12.251569,25.015263,149.809544,0.034045,0.034011,0.034011,0.000000
3.310000,0.200000,0.106054,0.002960,12.255713,25.023721,149.809430,0.034065,0.034032,0.034032,0.000000
3.315000,0.200000,0.106068,0.002962,12.259854,25.032173,149.809316,0.034086,0.034053,0.034053,0.000000
3.320000,0.200000,0.106083,0.002964,12.263993,25.040620,149.809202,0.034107,0.034073,0.034073,0.000000
3.325000,0.200000,0.106098,0.002966,12.268128,25.049062,149.809088,0.034128,0.034094,0.034094,0.000000
3.330000,0.200000,0.106113,0.002968,12.272261,25.057498,149.808974,0.034149,0.034115,0.034115,0.000000
3.335000,0.200000,0.106128,0.002970,12.276392,25.065929,149.808861,0.034170,0.034136,0.034136,0.000000
3.340000,0.200000,0.106143,0.002972,12.280520,25.074354,149.808747,0.034190,0.034157,0.034157,0.000000
3.345000,0.200000,0.106158,0.002974,12.284645,25.082774,149.808633,0.034211,0.034178,0.034178,0.000000
3.350000,0.200000,0.106172,0.002976,12.288767,25.091188,149.808519,0.034232,0.034198,0.034198,0.000000
3.355000,0.200000,0.106187,0.002977,12.292887,25.099597,149.808405,0.034253,0.034219,0.034219,0.000000
3.360000,0.200000,0.106202,0.002979,12.297004,25.108001,149.808291,0.034274,0.034240,0.034240,0.000000
3.365000,0.200000,0.106217,0.002981,12.301119,25.116399,149.808178,0.034295,0.034261,0.034261,0.000000
3.370000,0.200000,0.106232,0.002983,12.305231,25.124791,149.808064,0.034315,0.034282,0.034282,0.000000
3.375000,0.200000,0.106247,0.002985,12.309340,25.133178,149.807950,0.034336,0.034303,0.034303,0.000000
3.380000,0.200000,0.106262,0.002987,12.313446,25.141560,149.807836,0.034357,0.034323,0.034323,0.000000
3.385000,0.200000,0.106277,0.002989,12.317550,25.149936,149.807723,0.034378,0.034344,0.034344,0.000000
3.390000,0.200000,0.106292,0.002991,12.321651,25.158307,149.807609,0.034399,0.034365,0.034365,0.000000
3.395000,0.200000,0.106307,0.002992,12.325749,25.166672,149.807495,0.034419,0.034386,0.034386,0.000000
3.400000,0.200000,0.106322,0.002994,12.329845,25.175031,149.807382,0.034440,0.034406,0.034406,0.000000
3.405000,0.200000,0.106337,0.002996,12.333938,25.183386,149.807268,0.034461,0.034427,0.034427,0.000000
3.410000,0.200000,0.106352,0.002998,12.338028,25.191734,149.807155,0.034482,0.034448,0.034448,0.000000
