t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.595000,0.050000,0.050000,0.000000,10.005687,20.437565,149.999983,0.000003,0.000003,0.000003,0.000000
0.600000,0.050000,0.050000,0.000000,10.005687,20.437566,149.999984,0.000003,0.000003,0.000003,0.000000
0.605000,0.050000,0.050000,0.000000,10.005688,20.437567,149.999984,0.000003,0.000003,0.000003,0.000000
0.610000,0.050000,0.050000,0.000000,10.005688,20.437569,149.999984,0.000003,0.000003,0.000003,0.000000
0.615000,0.050000,0.050000,0.000000,10.005689,20.437570,149.999985,0.000003,0.000003,0.000003,0.000000
0.620000,0.050000,0.050000,0.000000,10.005689,20.437571,149.999985,0.000003,0.000003,0.000003,0.000000
0.625000,0.050000,0.050000,0.000000,10.005690,20.437572,149.999985,0.000002,0.000003,0.000003,0.000000
0.630000,0.050000,0.050000,0.000000,10.005690,20.437573,149.999985,0.000002,0.000003,0.000003,0.000000
0.635000,0.050000,0.050000,0.000000,10.005691,20.437574,149.999986,0.000002,0.000002,0.000002,0.000000
0.640000,0.050000,0.050000,0.000000,10.005692,20.437575,149.999986,0.000002,0.000002,0.000002,0.000000
0.645000,0.050000,0.050000,0.000000,10.005692,20.437576,149.999986,0.000002,0.000002,0.000002,0.000000
0.650000,0.050000,0.050000,0.000000,10.005692,20.437577,149.999986,0.000002,0.000002,0.000002,0.000000
0.655000,0.050000,0.050000,0.000000,10.005693,20.437578,149.999987,0.000002,0.000002,0.000002,0.000000
0.660000,0.050000,0.050000,0.000000,10.005693,20.437579,149.999987,0.000002,0.000002,0.000002,0.000000
0.665000,0.050000,0.050000,0.000000,10.005694,20.437580,149.999987,0.000002,0.000002,0.000002,0.000000
0.670000,0.050000,0.050000,0.000000,10.005694,20.437581,149.999987,0.000002,0.000002,0.000002,0.000000
0.675000,0.050000,0.050000,0.000000,10.005695,20.437581,149.999987,0.000002,0.000002,0.000002,0.000000
0.680000,0.050000,0.050000,0.000000,10.005695,20.437582,149.999988,0.000002,0.000002,0.000002,0.000000
0.685000,0.050000,0.050000,0.000000,10.005695,20.437583,149.999988,0.000002,0.000002,0.000002,0.000000
0.690000,0.050000,0.050000,0.000000,10.005696,20.437584,149.999988,0.000002,0.000002,0.000002,0.000000
