t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
150.0,0.000,0.2773,301.7014,301.4241,301.6172,J,62.26,0.7917,2,22.84
151.0,0.000,0.2684,301.7161,301.4477,301.6354,J,62.26,0.7903,2,23.11
152.0,0.000,0.2596,301.7307,301.4712,301.6536,J,62.26,0.7889,2,23.37
153.0,0.000,0.2507,301.7453,301.4946,301.6717,J,62.26,0.7875,2,23.62
154.0,0.000,0.2427,301.7607,301.5180,301.6898,J,62.26,0.7861,2,23.86
155.0,0.000,0.2354,301.7767,301.5414,301.7078,J,62.26,0.7847,2,24.09
156.0,0.000,0.2280,301.7927,301.5647,301.7258,J,62.26,0.7833,2,24.32
157.0,0.000,0.2207,301.8086,301.5880,301.7437,J,62.26,0.7819,2,24.54
158.0,0.000,0.2133,301.8245,301.6112,301.7615,J,62.26,0.7806,2,24.76
159.0,0.000,0.2063,301.8407,301.6343,301.7793,J,62.26,0.7792,2,24.96
160.0,0.000,0.2002,301.8577,301.6575,301.7970,J,62.26,0.7778,2,25.16
161.0,0.000,0.1942,301.8747,301.6805,301.8147,J,62.26,0.7764,2,25.36
162.0,0.000,0.1892,301.8927,301.7036,301.8323,J,62.26,0.7750,2,25.55
163.0,0.000,0.1853,301.9118,301.7265,301.8499,J,62.26,0.7736,2,25.73
164.0,0.000,0.1850,301.9308,301.7458,301.8674,J,62.26,0.7722,2,25.92
165.0,0.000,0.1946,301.9498,301.7551,301.8848,J,62.26,0.7708,2,26.11
166.0,0.000,0.2043,301.9687,301.7644,301.9022,J,62.26,0.7694,2,26.32
167.0,0.000,0.2139,301.9876,301.7736,301.9195,J,62.26,0.7681,2,26.53
168.0,0.000,0.2236,302.0064,301.7828,301.9368,J,62.26,0.7667,2,26.75
169.0,0.000,0.2332,302.0251,301.7919,301.9540,J,62.26,0.7653,2,26.99
170.0,0.000,0.2429,302.0438,301.8010,301.9712,J,62.26,0.7639,2,27.23
171.0,0.000,0.2525,302.0624,301.8100,301.9883,J,62.26,0.7625,2,27.48
172.0,0.000,0.2621,302.0810,301.8189,302.0054,J,62.26,0.7611,2,27.74
173.0,0.000,0.2717,302.0996,301.8278,302.0224,J,62.26,0.7597,2,28.02
174.0,0.000,0.2813,302.1180,301.8367,302.0394,J,62.26,0.7583,2,28.30
175.0,0.000,0.2909,302.1364,301.8455,302.0563,J,62.26,0.7569,2,28.59
176.0,0.000,0.3005,302.1548,301.8543,302.0731,U,62.26,0.7556,3,28.89
177.0,0.000,0.2945,302.1726,301.8781,302.0918,U,62.26,0.7542,3,29.18
178.0,0.000,0.2885,302.1904,301.9019,302.1103,U,62.26,0.7528,3,29.47
179.0,0.000,0.2825,302.2081,301.9256,302.1289,U,62.26,0.7514,3,29.75
180.0,0.000,0.2765,302.2258,301.9493,302.1474,U,58.16,0.7500,3,30.03
181.0,0.000,0.2705,302.2414,301.9709,302.1638,U,58.16,0.7486,3,30.30
182.0,0.000,0.2644,302.2569,301.9925,302.1802,U,58.16,0.7472,3,30.57
183.0,0.000,0.2583,302.2725,302.0141,302.1966,U,58.16,0.7458,3,30.82
184.0,0.000,0.2523,302.2879,302.0357,302.2129,U,58.16,0.7444,3,31.08
185.0,0.000,0.2462,302.3033,302.0572,302.2292,U,58.16,0.7431,3,31.32
186.0,0.000,0.2401,302.3187,302.0786,302.2454,U,58.16,0.7417,3,31.56
187.0,0.000,0.2340,302.3340,302.1001,302.2616,U,58.16,0.7403,3,31.80
188.0,0.000,0.2279,302.3493,302.1214,302.2778,U,58.16,0.7389,3,32.02
189.0,0.000,0.2218,302.3646,302.1428,302.2938,U,58.16,0.7375,3,32.25
190.0,0.000,0.2245,302.3797,302.1552,302.3099,U,58.16,0.7361,3,32.47
191.0,0.000,0.2316,302.3955,302.1639,302.3259,U,58.16,0.7347,3,32.70
192.0,0.000,0.2395,302.4120,302.1726,302.3419,U,58.16,0.7333,3,32.94
193.0,0.000,0.2481,302.4293,302.1812,302.3578,U,58.16,0.7319,3,33.19
194.0,0.000,0.2568,302.4466,302.1898,302.3737,U,58.16,0.7306,3,33.45
195.0,0.000,0.2656,302.4639,302.1983,302.3895,U,58.16,0.7292,3,33.71
196.0,0.000,0.2755,302.4823,302.2068,302.4053,U,58.16,0.7278,3,33.99
197.0,0.000,0.2853,302.5006,302.2153,302.4210,U,58.16,0.7264,3,34.27
198.0,0.000,0.2951,302.5188,302.2237,302.4368,U,58.16,0.7250,3,34.57
199.0,0.000,0.3050,302.5370,302.2321,302.4524,J,58.16,0.7236,4,34.87
200.0,0.000,0.2960,302.5480,302.2520,302.4658,J,58.16,0.7222,4,35.17
201.0,0.000,0.2871,302.5590,302.2719,302.4792,J,58.16,0.7208,4,35.46
202.0,0.000,0.2782,302.5699,302.2918,302.4926,J,58.16,0.7194,4,35.73
203.0,0.000,0.2704,302.5820,302.3116,302.5059,J,58.16,0.7181,4,36.00
204.0,0.000,0.2629,302.5943,302.3314,302.5191,J,58.16,0.7167,4,36.27
205.0,0.000,0.2555,302.6066,302.3511,302.5323,J,58.16,0.7153,4,36.52
206.0,0.000,0.2494,302.6202,302.3708,302.5455,J,58.16,0.7139,4,36.77
