t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
382.0,0.000,0.3672,305.9879,305.6206,305.8039,U,69.74,0.4694,10,116.95
383.0,0.000,0.3879,306.0060,305.6181,305.8153,U,69.75,0.4681,10,117.34
384.0,0.000,0.4085,306.0242,305.6156,305.8267,U,69.76,0.4667,10,117.75
385.0,0.000,0.4291,306.0423,305.6132,305.8380,U,69.77,0.4653,10,118.18
386.0,0.000,0.4497,306.0604,305.6107,305.8493,U,69.79,0.4639,10,118.63
387.0,0.000,0.4701,306.0784,305.6083,305.8606,U,69.80,0.4625,10,119.10
388.0,0.000,0.4906,306.0965,305.6059,305.8719,U,69.81,0.4611,10,119.59
389.0,0.000,0.5110,306.1144,305.6035,305.8831,J,69.82,0.4597,11,120.10
390.0,0.000,0.4912,306.1135,305.6223,305.8904,J,69.83,0.4583,11,120.59
391.0,0.000,0.4715,306.1125,305.6411,305.8977,J,69.84,0.4569,11,121.06
392.0,0.000,0.4518,306.1116,305.6598,305.9049,J,69.85,0.4556,11,121.52
393.0,0.000,0.4321,306.1107,305.6786,305.9122,J,69.86,0.4542,11,121.95
394.0,0.000,0.4125,306.1097,305.6972,305.9195,J,69.87,0.4528,11,122.36
395.0,0.000,0.3929,306.1088,305.7159,305.9267,J,69.88,0.4514,11,122.75
396.0,0.000,0.3734,306.1079,305.7345,305.9339,J,69.89,0.4500,11,123.13
397.0,0.000,0.3539,306.1070,305.7531,305.9411,J,69.90,0.4486,11,123.48
398.0,0.000,0.3602,306.1061,305.7459,305.9483,J,69.91,0.4472,11,123.84
399.0,0.000,0.3825,306.1182,305.7357,305.9555,J,69.92,0.4458,11,124.22
400.0,0.000,0.4081,306.1337,305.7256,305.9627,J,69.93,0.4444,11,124.63
401.0,0.000,0.4336,306.1492,305.7156,305.9699,J,69.94,0.4431,11,125.06
402.0,0.000,0.4590,306.1646,305.7056,305.9770,J,69.95,0.4417,11,125.52
403.0,0.000,0.4843,306.1801,305.6957,305.9842,J,69.96,0.4403,11,126.01
404.0,0.000,0.5095,306.1955,305.6859,305.9913,U,69.97,0.4389,12,126.52
405.0,0.000,0.4924,306.1993,305.7069,306.0022,U,69.98,0.4375,12,127.01
406.0,0.000,0.4753,306.2031,305.7278,306.0131,U,69.99,0.4361,12,127.48
407.0,0.000,0.4582,306.2069,305.7487,306.0239,U,70.00,0.4347,12,127.94
408.0,0.000,0.4411,306.2106,305.7695,306.0347,U,70.01,0.4333,12,128.38
409.0,0.000,0.4241,306.2144,305.7904,306.0455,U,70.02,0.4319,12,128.81
410.0,0.000,0.4070,306.2182,305.8111,306.0563,U,70.03,0.4306,12,129.22
411.0,0.000,0.3944,306.2263,305.8319,306.0670,U,70.04,0.4292,12,129.61
412.0,0.000,0.3915,306.2442,305.8526,306.0778,U,70.05,0.4278,12,130.00
413.0,0.000,0.4119,306.2620,305.8500,306.0885,U,70.06,0.4264,12,130.41
414.0,0.000,0.4331,306.2797,305.8466,306.0992,U,70.07,0.4250,12,130.85
415.0,0.000,0.4543,306.2975,305.8432,306.1098,U,70.08,0.4236,12,131.30
416.0,0.000,0.4754,306.3152,305.8398,306.1205,U,70.09,0.4222,12,131.78
417.0,0.000,0.4965,306.3329,305.8364,306.1311,U,70.10,0.4208,12,132.27
418.0,0.000,0.5174,306.3505,305.8331,306.1417,J,70.11,0.4194,13,132.79
419.0,0.000,0.4970,306.3486,305.8516,306.1483,J,70.12,0.4181,13,133.29
420.0,0.000,0.4767,306.3468,305.8701,306.1549,J,70.13,0.4167,13,133.76
421.0,0.000,0.4564,306.3449,305.8885,306.1615,J,70.14,0.4153,13,134.22
422.0,0.000,0.4361,306.3430,305.9069,306.1680,J,70.15,0.4139,13,134.66
423.0,0.000,0.4211,306.3412,305.9201,306.1746,J,70.16,0.4125,13,135.08
424.0,0.000,0.4303,306.3393,305.9091,306.1811,J,70.17,0.4111,13,135.51
425.0,0.000,0.4561,306.3543,305.8981,306.1876,J,70.18,0.4097,13,135.96
426.0,0.000,0.4821,306.3694,305.8873,306.1942,J,70.19,0.4083,13,136.45
427.0,0.000,0.5080,306.3845,305.8765,306.2007,U,70.20,0.4069,14,136.95
