t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
1.03000,-4.93878,2.61469,0.00000,-2.00835,15.00000,0.00000,0.00000
1.03500,-4.92536,2.68414,0.00000,-2.21445,15.00000,0.00000,0.00000
1.04000,-4.91159,2.75318,0.00000,-2.40389,15.00000,0.00000,0.00000
1.04500,-4.89748,2.82181,0.00000,-2.57675,15.00000,0.00000,0.00000
1.05000,-4.88303,2.89002,0.00000,-2.73315,15.00000,0.00000,0.00000
1.05500,-4.86824,2.95779,0.00000,-2.87318,15.00000,0.00000,0.00000
1.06000,-4.85312,3.02512,0.00000,-2.99694,15.00000,0.00000,0.00000
1.06500,-4.83766,3.09200,0.00000,-3.10454,15.00000,0.00000,0.00000
1.07000,-4.82186,3.15842,0.00000,-3.19608,15.00000,0.00000,0.00000
1.07500,-4.80574,3.22434,0.00000,-3.27167,15.00000,0.00000,0.00000
1.08000,-4.78929,3.28977,0.00000,-3.33144,15.00000,0.00000,0.00000
1.08500,-4.77252,3.35469,0.00000,-3.37553,15.00000,0.00000,0.00000
1.09000,-4.75543,3.41906,0.00000,-3.40406,15.00000,0.00000,0.00000
1.09500,-4.73801,3.48288,0.00000,-3.41718,15.00000,0.00000,0.00000
1.10000,-4.72028,3.54612,0.00000,-3.41503,15.00000,0.00000,0.00000
1.10500,-4.70224,3.60875,0.00000,-3.39777,15.00000,0.00000,0.00000
1.11000,-4.68388,3.67076,0.00000,-3.36556,15.00000,0.00000,0.00000
1.11500,-4.66522,3.73211,0.00000,-3.31856,15.00000,0.00000,0.00000
1.12000,-4.64626,3.79278,0.00000,-3.25695,15.00000,0.00000,0.00000
1.12500,-4.62699,3.85274,0.00000,-3.18090,15.00000,0.00000,0.00000
1.13000,-4.60743,3.91196,0.00000,-3.09059,15.00000,0.00000,0.00000
1.13500,-4.58758,3.97040,0.00000,-2.98620,15.00000,0.00000,0.00000
1.14000,-4.56744,4.02803,0.00000,-2.86794,15.00000,0.00000,0.00000
1.14500,-4.54702,4.08482,0.00000,-2.73599,15.00000,0.00000,0.00000
1.15000,-4.52631,4.14074,0.00000,-2.59055,15.00000,0.00000,0.00000
1.15500,-4.50534,4.19573,0.00000,-2.43183,15.00000,0.00000,0.00000
1.16000,-4.48409,4.24978,0.00000,-2.26001,15.00000,0.00000,0.00000
1.16500,-4.46257,4.30284,0.00000,-2.07529,15.00000,0.00000,0.00000
1.17000,-4.44080,4.35486,0.00000,-1.87784,15.00000,0.00000,0.00000
1.17500,-4.41877,4.40582,0.00000,-1.66784,15.00000,0.00000,0.00000
1.18000,-4.39649,4.45566,0.00000,-1.44543,15.00000,0.00000,0.00000
1.18500,-4.37397,4.50435,0.00000,-1.21072,15.00000,0.00000,0.00000
1.19000,-4.35121,4.55185,0.00000,-0.96382,15.00000,0.00000,0.00000
1.19500,-4.32822,4.59810,0.00000,-0.70480,15.00000,0.00000,0.00000
1.20000,-4.30500,4.64307,0.00000,-0.43368,15.00000,0.00000,0.00000
1.20500,-4.28157,4.68671,0.00000,-0.15048,15.00000,0.00000,0.00000
1.21000,-4.25793,4.72898,0.00000,0.14481,15.00000,0.00000,0.00000
1.21500,-4.23408,4.76983,0.00000,0.45223,15.00000,0.00000,0.00000
1.22000,-4.21003,4.80922,0.00000,0.77178,15.00000,0.00000,0.00000
1.22500,-4.18580,4.84711,0.00000,1.07348,-15.00000,0.00000,0.00000
1.23000,-4.16138,4.88345,0.00000,1.35759,-15.00000,0.00000,0.00000
1.23500,-4.13679,4.91819,0.00000,1.62435,-15.00000,0.00000,0.00000
1.24000,-4.11203,4.95130,0.00000,1.87392,-15.00000,0.00000,0.00000
1.24500,-4.08712,4.98274,0.00000,2.10647,-15.00000,0.00000,0.00000
