t,v_in,v_ref,v_out,i_L,d,mode,error
0.03404000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03406000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03408000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03410000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03412000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03414000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03416000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03418000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03420000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03422000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03424000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03426000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03428000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03430000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03432000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03434000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03436000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03438000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03440000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03442000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03444000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03446000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03448000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03450000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03452000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03454000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03456000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03458000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03460000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03462000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03464000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03466000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03468000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03470000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03472000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03474000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03476000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03478000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03480000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03482000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03484000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03486000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03488000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03490000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03492000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03494000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03496000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03498000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03500000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03502000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03504000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03506000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03508000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03510000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03512000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03514000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03516000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03518000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03520000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03522000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03524000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03526000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03528000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03530000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03532000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03534000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03536000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03538000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03540000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03542000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03544000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03546000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03548000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03550000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03552000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03554000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03556000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03558000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03560000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03562000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03564000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03566000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03568000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03570000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03572000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03574000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03576000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03578000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03580000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03582000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03584000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03586000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03588000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03590000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03592000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03594000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03596000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03598000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03600000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03602000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03604000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03606000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03608000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03610000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03612000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03614000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03616000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03618000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03620000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03622000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03624000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03626000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03628000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03630000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03632000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03634000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03636000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03638000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03640000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03642000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03644000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03646000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03648000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03650000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03652000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03654000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03656000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03658000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03660000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03662000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03664000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03666000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03668000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03670000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03672000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03674000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03676000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03678000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03680000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03682000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03684000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03686000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03688000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03690000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03692000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03694000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03696000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03698000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03700000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03702000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03704000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03706000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03708000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03710000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03712000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03714000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03716000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03718000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03720000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03722000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03724000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03726000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03728000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03730000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03732000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03734000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03736000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03738000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03740000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03742000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03744000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03746000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03748000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03750000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03752000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03754000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03756000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03758000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03760000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03762000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03764000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03766000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03768000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03770000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03772000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03774000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03776000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03778000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03780000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03782000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03784000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03786000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03788000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03790000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03792000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03794000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03796000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03798000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03800000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03802000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03804000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03806000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03808000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03810000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03812000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03814000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03816000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03818000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03820000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
