Time,y1,y2,y3,u1,u2,u3,du3,theta
200,153.164,142.202,2.87257,0.59589,0.89447,0.164872,-0.166726,0.164245
201,153.188,142.143,2.92871,0.59589,0.89447,0.00847366,-0.156398,0.00723021
202,153.237,142.093,3.00433,0.59589,0.89447,0,-0.00847366,-0.136923
203,153.31,142.053,3.09793,0.59589,0.89447,0,0,-0.265565
204,153.383,142.025,3.19576,0.59589,0.89447,0,0,-0.376026
205,153.456,142.007,3.29717,0.59589,0.89447,0,0,-0.465671
206,153.529,141.998,3.40234,0.59589,0.89447,0,0,-0.53197
207,153.601,141.998,3.51147,0.59589,0.89447,0,0,-0.572552
208,153.674,142.005,3.62476,0.59589,0.89447,0,0,-0.585276
209,153.746,142.02,3.74244,0.59589,0.89447,0,0,-0.568295
210,153.817,142.04,3.86476,0.59589,0.89447,0,0,-0.520119
211,153.889,142.066,3.99196,0.59589,0.89447,0,0,-0.439681
212,153.96,142.096,4.12433,0.59589,0.89447,0,0,-0.326394
213,154.031,142.131,4.26217,0.59589,0.89447,0,0,-0.180212
214,154.102,142.17,4.40579,0.59589,0.89447,0.00308132,0.00308132,-0.00167397
215,154.173,142.212,4.55551,0.59589,0.89447,0.212573,0.209492,0.208049
216,154.243,142.258,4.70828,0.59589,0.89447,0.451295,0.238722,0.447073
217,154.281,142.306,4.82644,0.59589,0.89447,0.716204,0.26491,0.712352
218,154.283,142.353,4.90052,0.59589,0.89447,1,0.283796,0.999737
219,154.246,142.396,4.92252,0.59589,0.89447,1,0,1.30416
220,154.166,142.431,4.89175,0.59589,0.89447,1,0,1.61997
221,154.086,142.454,4.86113,0.59589,0.89447,1,0,1.94157
222,154.007,142.466,4.83065,0.59589,0.89447,1,0,2.26355
223,153.928,142.469,4.80032,0.59589,0.89447,1,0,2.58073
224,153.849,142.463,4.77012,0.59589,0.89447,1,0,2.88824
225,153.77,142.45,4.74007,0.59589,0.89447,1,0,3.18162
226,153.692,142.429,4.71015,0.59589,0.89447,1,0,3.45683
227,153.614,142.403,4.68038,0.59589,0.89447,1,0,3.71033
228,153.536,142.371,4.65076,0.59589,0.89447,1,0,3.93908
229,153.459,142.335,4.62127,0.59589,0.89447,1,0,4.14062
230,153.381,142.294,4.59192,0.59589,0.89447,1,0,4.31304
231,153.304,142.249,4.56272,0.59589,0.89447,1,0,4.45499
232,153.228,142.2,4.53366,0.59589,0.89447,1,0,4.56571
233,153.151,142.148,4.50473,0.59589,0.89447,1,0,4.64496
234,153.075,142.094,4.47595,0.59589,0.89447,1,0,4.69305
235,152.999,142.037,4.44731,0.59589,0.89447,1,0,4.71078
236,152.924,141.978,4.41881,0.59589,0.89447,1,0,4.69939
237,152.848,141.917,4.39045,0.59589,0.89447,1,0,4.66056
238,152.773,141.854,4.36222,0.59589,0.89447,1,0,4.59631
239,152.698,141.79,4.33414,0.59589,0.89447,1,0,4.509
240,152.623,141.724,4.3062,0.59589,0.89447,1,0,4.4012
241,152.549,141.657,4.27839,0.59589,0.89447,1,0,4.27572
242,152.475,141.589,4.25072,0.59589,0.89447,1,0,4.13548
243,152.401,141.52,4.2232,0.59589,0.89447,1,0,3.9835
244,152.327,141.451,4.19581,0.59589,0.89447,1,0,3.8228
245,152.254,141.38,4.16855,0.59589,0.89447,1,0,3.6564
246,152.181,141.309,4.14144,0.59589,0.89447,1,0,3.48722
247,152.108,141.238,4.11446,0.59589,0.89447,1,0,3.31806
248,152.035,141.166,4.08762,0.59589,0.89447,1,0,3.15154
249,151.963,141.094,4.06091,0.59589,0.89447,1,0,2.99009
250,151.891,141.021,4.03434,0.59589,0.89447,1,0,2.83591
251,151.819,140.948,4.00791,0.59589,0.89447,1,0,2.69092
252,151.747,140.875,3.98161,0.59589,0.89447,1,0,2.55677
253,151.676,140.802,3.95544,0.59589,0.89447,1,0,2.43482
254,151.605,140.729,3.92941,0.59589,0.89447,1,0,2.32613
255,151.534,140.656,3.90352,0.59589,0.89447,1,0,2.23146
256,151.463,140.582,3.87775,0.59589,0.89447,1,0,2.15129
257,151.393,140.509,3.85213,0.59589,0.89447,1,0,2.08581
258,151.322,140.436,3.82663,0.59589,0.89447,1,0,2.03492
259,151.252,140.362,3.80127,0.59589,0.89447,1,0,1.99832
260,151.183,140.289,3.77604,0.59589,0.89447,1,0,1.97543
261,151.113,140.216,3.75094,0.59589,0.89447,1,0,1.96551
262,151.044,140.143,3.72597,0.59589,0.89447,1,0,1.96764
263,150.975,140.07,3.70113,0.59589,0.89447,1,0,1.98076
264,150.906,139.997,3.67642,0.59589,0.89447,1,0,2.00369
265,150.837,139.925,3.65185,0.59589,0.89447,1,0,2.03519
266,150.769,139.852,3.6274,0.59589,0.89447,1,0,2.07394
267,150.701,139.78,3.60308,0.59589,0.89447,1,0,2.11865
268,150.633,139.708,3.57889,0.59589,0.89447,1,0,2.16801
269,150.566,139.635,3.55483,0.59589,0.89447,1,0,2.22074
270,150.498,139.564,3.5309,0.59589,0.89447,1,0,2.27564
271,150.431,139.492,3.50709,0.59589,0.89447,1,0,2.3316
272,150.364,139.421,3.48341,0.59589,0.89447,1,0,2.38757
273,150.297,139.349,3.45986,0.59589,0.89447,1,0,2.44265
