Time,dx1,dx2,dx3,u1,u2,u3
292,2.14077e-05,-1.15052e-06,-1.10921,0.594634,0.89447,0.780755
293,2.16486e-05,-1.14909e-06,-1.12171,0.594847,0.89447,0.782029
294,2.18487e-05,-1.14574e-06,-1.1321,0.595057,0.89447,0.783292
295,2.20084e-05,-1.14052e-06,-1.14039,0.595265,0.89447,0.78454
296,2.21282e-05,-1.13347e-06,-1.14661,0.595471,0.89447,0.785773
297,2.22085e-05,-1.12463e-06,-1.15079,0.595673,0.89447,0.786988
298,2.22498e-05,-1.11405e-06,-1.15295,0.595872,0.89447,0.788184
299,2.22529e-05,-1.10178e-06,-1.15312,0.596068,0.89447,0.789359
300,2.22185e-05,-1.08787e-06,-1.15135,0.59626,0.89447,0.790511
301,2.21471e-05,-1.07237e-06,-1.14767,0.596448,0.89447,0.791639
302,2.20396e-05,-1.05533e-06,-1.14211,0.596632,0.89447,0.792741
303,2.18968e-05,-1.03681e-06,-1.13473,0.596811,0.89447,0.793817
304,2.17197e-05,-1.01687e-06,-1.12556,0.596985,0.89447,0.794864
305,2.1509e-05,-9.95571e-07,-1.11465,0.597155,0.89447,0.795881
306,2.12657e-05,-9.72967e-07,-1.10206,0.597319,0.89447,0.796868
307,2.09909e-05,-9.49121e-07,-1.08783,0.597478,0.89447,0.797822
308,2.06855e-05,-9.24096e-07,-1.07202,0.597632,0.89447,0.798744
309,2.03506e-05,-8.97955e-07,-1.05468,0.59778,0.89447,0.799632
310,1.99873e-05,-8.70762e-07,-1.03587,0.597922,0.89447,0.800485
311,1.95968e-05,-8.42581e-07,-1.01564,0.598058,0.89447,0.801302
312,1.918e-05,-8.13478e-07,-0.994052,0.598188,0.89447,0.802082
313,1.87383e-05,-7.83517e-07,-0.971173,0.598312,0.89447,0.802826
314,1.82728e-05,-7.52764e-07,-0.94706,0.59843,0.89447,0.803532
315,1.77847e-05,-7.21286e-07,-0.921776,0.598541,0.89447,0.8042
316,1.72752e-05,-6.89148e-07,-0.895385,0.598646,0.89447,0.804829
317,1.67456e-05,-6.56417e-07,-0.86795,0.598744,0.89447,0.805419
318,1.61972e-05,-6.23157e-07,-0.839536,0.598836,0.89447,0.80597
319,1.56311e-05,-5.89435e-07,-0.810209,0.598921,0.89447,0.806481
320,1.50486e-05,-5.55316e-07,-0.780034,0.599,0.89447,0.806952
321,1.44511e-05,-5.20863e-07,-0.749077,0.599072,0.89447,0.807383
322,1.38398e-05,-4.86142e-07,-0.717404,0.599137,0.89447,0.807775
323,1.32159e-05,-4.51215e-07,-0.685082,0.599195,0.89447,0.808127
324,1.25808e-05,-4.16146e-07,-0.652176,0.599247,0.89447,0.808439
325,1.19357e-05,-3.80995e-07,-0.618752,0.599293,0.89447,0.808712
326,1.12819e-05,-3.45824e-07,-0.584876,0.599332,0.89447,0.808945
327,1.06207e-05,-3.10692e-07,-0.550613,0.599364,0.89447,0.809139
328,9.9532e-06,-2.75657e-07,-0.516028,0.59939,0.89447,0.809295
329,9.28075e-06,-2.40778e-07,-0.481184,0.59941,0.89447,0.809413
330,8.60455e-06,-2.06111e-07,-0.446146,0.599423,0.89447,0.809492
331,7.9258e-06,-1.71709e-07,-0.410975,0.59943,0.89447,0.809535
332,7.2457e-06,-1.37627e-07,-0.375733,0.599431,0.89447,0.809541
333,6.56541e-06,-1.03916e-07,-0.340481,0.599426,0.89447,0.809511
334,5.88609e-06,-7.06271e-08,-0.305279,0.599415,0.89447,0.809446
335,5.20887e-06,-3.78081e-08,-0.270186,0.599399,0.89447,0.809346
336,4.53485e-06,-5.50644e-09,-0.235257,0.599376,0.89447,0.809213
337,3.86511e-06,2.62325e-08,-0.200551,0.599349,0.89447,0.809046
338,3.20072e-06,5.73653e-08,-0.16612,0.599316,0.89447,0.808847
339,2.54268e-06,8.78499e-08,-0.132019,0.599277,0.89447,0.808618
340,1.89201e-06,1.17647e-07,-0.0982988,0.599234,0.89447,0.808358
341,1.24966e-06,1.46717e-07,-0.0650099,0.599186,0.89447,0.808069
342,6.16582e-07,1.75025e-07,-0.0322007,0.599133,0.89447,0.807751
343,-6.32825e-09,2.02537e-07,8.17835e-05,0.599075,0.89447,0.807406
344,-6.18198e-07,2.2922e-07,0.0317926,0.599014,0.89447,0.807036
345,-1.21819e-06,2.55043e-07,0.0628882,0.598948,0.89447,0.80664
346,-1.8055e-06,2.79979e-07,0.0933271,0.598878,0.89447,0.80622
347,-2.37937e-06,3.04001e-07,0.12307,0.598804,0.89447,0.805777
348,-2.93906e-06,3.27085e-07,0.152078,0.598727,0.89447,0.805313
349,-3.48388e-06,3.49208e-07,0.180316,0.598646,0.89447,0.804828
350,-4.01317e-06,3.7035e-07,0.207749,0.598562,0.89447,0.804324
351,-4.52633e-06,3.90492e-07,0.234346,0.598475,0.89447,0.803802
352,-5.02275e-06,4.0962e-07,0.260077,0.598385,0.89447,0.803262
353,-5.50192e-06,4.27717e-07,0.284914,0.598292,0.89447,0.802707
354,-5.96331e-06,4.44772e-07,0.30883,0.598197,0.89447,0.802138
355,-6.40647e-06,4.60775e-07,0.331801,0.5981,0.89447,0.801555
356,-6.83098e-06,4.75717e-07,0.353806,0.598001,0.89447,0.800961
357,-7.23644e-06,4.89591e-07,0.374824,0.5979,0.89447,0.800355
358,-7.62251e-06,5.02394e-07,0.394838,0.597798,0.89447,0.79974
359,-7.98889e-06,5.14123e-07,0.413831,0.597694,0.89447,0.799116
360,-8.33529e-06,5.24776e-07,0.431789,0.597589,0.89447,0.798485
361,-8.6615e-06,5.34355e-07,0.448701,0.597483,0.89447,0.797848
