step,y1,y2,u1,u2
3.72,1.66867,1.66867,1.59385,1.59385
3.73,1.66522,1.66522,1.57166,1.57166
3.74,1.66128,1.66128,1.55106,1.55106
3.75,1.65685,1.65685,1.53207,1.53207
3.76,1.65194,1.65194,1.51471,1.51471
3.77,1.64655,1.64655,1.49899,1.49899
3.78,1.64067,1.64067,1.48493,1.48493
3.79,1.63432,1.63432,1.47254,1.47254
3.8,1.62749,1.62749,1.46184,1.46184
3.81,1.6202,1.6202,1.45284,1.45284
3.82,1.61244,1.61244,1.44554,1.44554
3.83,1.60422,1.60422,1.43996,1.43996
3.84,1.59555,1.59555,1.43611,1.43611
3.85,1.58643,1.58643,1.43399,1.43399
3.86,1.57686,1.57686,1.4336,1.4336
3.87,1.56685,1.56685,1.43496,1.43496
3.88,1.55641,1.55641,1.43807,1.43807
3.89,1.54555,1.54555,1.44292,1.44292
3.9,1.53427,1.53427,1.44951,1.44951
3.91,1.52257,1.52257,1.45786,1.45786
3.92,1.51047,1.51047,1.46795,1.46795
3.93,1.49798,1.49798,1.47979,1.47979
3.94,1.48509,1.48509,1.49336,1.49336
3.95,1.47183,1.47183,1.50867,1.50867
3.96,1.4582,1.4582,1.5257,1.5257
3.97,1.4442,1.4442,1.54445,1.54445
3.98,1.42985,1.42985,1.56491,1.56491
3.99,1.41515,1.41515,1.58707,1.58707
4,1.40013,1.40013,1.61092,1.61092
4.01,1.38477,1.38477,1.63645,1.63645
4.02,1.36911,1.36911,1.66364,1.66364
4.03,1.35314,1.35314,1.69247,1.69247
4.04,1.33687,1.33687,1.72293,1.72293
4.05,1.32033,1.32033,1.75501,1.75501
4.06,1.30351,1.30351,1.78867,1.78867
4.07,1.28644,1.28644,1.82392,1.82392
4.08,1.26911,1.26911,1.86071,1.86071
4.09,1.25155,1.25155,1.89904,1.89904
4.1,1.23377,1.23377,1.93887,1.93887
4.11,1.21577,1.21577,1.98019,1.98019
4.12,1.19758,1.19758,2.02296,2.02296
4.13,1.1792,1.1792,2.06716,2.06716
4.14,1.16064,1.16064,2.11277,2.11277
4.15,1.14192,1.14192,2.15975,2.15975
4.16,1.12305,1.12305,2.20808,2.20808
4.17,1.10404,1.10404,2.25772,2.25772
4.18,1.08491,1.08491,2.30865,2.30865
4.19,1.06568,1.06568,2.36082,2.36082
4.2,1.04634,1.04634,2.41421,2.41421
4.21,1.02693,1.02693,2.46879,2.46879
4.22,1.00744,1.00744,2.52451,2.52451
4.23,0.987896,0.987896,2.58134,2.58134
4.24,0.968312,0.968312,2.63924,2.63924
4.25,0.948699,0.948699,2.69818,2.69818
4.26,0.929072,0.929072,2.75811,2.75811
4.27,0.909444,0.909444,2.819,2.819
4.28,0.88983,0.88983,2.88081,2.88081
4.29,0.870242,0.870242,2.94349,2.94349
4.3,0.850695,0.850695,3.007,3.007
4.31,0.831204,0.831204,3.07131,3.07131
4.32,0.811781,0.811781,3.13636,3.13636
4.33,0.79244,0.79244,3.20211,3.20211
4.34,0.773196,0.773196,3.26853,3.26853
4.35,0.754062,0.754062,3.33556,3.33556
4.36,0.735052,0.735052,3.40316,3.40316
4.37,0.71618,0.71618,3.47128,3.47128
4.38,0.697459,0.697459,3.53988,3.53988
4.39,0.678903,0.678903,3.60891,3.60891
4.4,0.660524,0.660524,3.67832,3.67832
4.41,0.642338,0.642338,3.74807,3.74807
4.42,0.624356,0.624356,3.81811,3.81811
4.43,0.606592,0.606592,3.88838,3.88838
4.44,0.58906,0.58906,3.95885,3.95885
4.45,0.571771,0.571771,4.02945,4.02945
4.46,0.554738,0.554738,4.10015,4.10015
4.47,0.537974,0.537974,4.17089,4.17089
4.48,0.521492,0.521492,4.24163,4.24163
4.49,0.505304,0.505304,4.31231,4.31231
4.5,0.489422,0.489422,4.38289,4.38289
4.51,0.473857,0.473857,4.45332,4.45332
4.52,0.458621,0.458621,4.52354,4.52354
4.53,0.443726,0.443726,4.59351,4.59351
4.54,0.429183,0.429183,4.66318,4.66318
4.55,0.415003,0.415003,4.73249,4.73249
4.56,0.401196,0.401196,4.80141,4.80141
4.57,0.387774,0.387774,4.86987,4.86987
4.58,0.374747,0.374747,4.93784,4.93784
4.59,0.362124,0.362124,5.00526,5.00526
4.6,0.349915,0.349915,5.07209,5.07209
4.61,0.338131,0.338131,5.13827,5.13827
4.62,0.326779,0.326779,5.20377,5.20377
4.63,0.31587,0.31587,5.26853,5.26853
4.64,0.305411,0.305411,5.3325,5.3325
4.65,0.295411,0.295411,5.39564,5.39564
4.66,0.285878,0.285878,5.45791,5.45791
4.67,0.27682,0.27682,5.51926,5.51926
4.68,0.268245,0.268245,5.57963,5.57963
4.69,0.260158,0.260158,5.639,5.639
4.7,0.252568,0.252568,5.69732,5.69732
4.71,0.24548,0.24548,5.75454,5.75454
4.72,0.2389,0.2389,5.81062,5.81062
