Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
132,97.366,50.5316,-0.10825,0.286963,0.620218,0.417239,-0.000525892,-2.40207e-05,0.000383914
133,97.3696,50.5308,-0.107714,0.286457,0.620196,0.417621,-0.000505865,-2.17557e-05,0.000382543
134,97.3726,50.53,-0.10717,0.285972,0.620177,0.418002,-0.00048551,-1.93715e-05,0.000381082
135,97.3751,50.5292,-0.106618,0.285506,0.62016,0.418382,-0.000465393,-1.68085e-05,0.000379562
136,97.3771,50.5283,-0.106059,0.285061,0.620146,0.41876,-0.000444949,-1.43051e-05,0.000378102
137,97.3787,50.5275,-0.105492,0.284636,0.620134,0.419137,-0.000424832,-1.2219e-05,0.000376582
138,97.3797,50.5266,-0.104918,0.284232,0.620123,0.419512,-0.000404418,-1.03712e-05,0.000375062
139,97.3804,50.5258,-0.104337,0.283848,0.620115,0.419885,-0.00038442,-8.52346e-06,0.000373513
140,97.3806,50.5249,-0.103748,0.283483,0.620108,0.420257,-0.000364244,-6.31809e-06,0.000371993
141,97.3804,50.524,-0.103151,0.283139,0.620104,0.420628,-0.000343949,-4.23193e-06,0.000370383
142,97.3799,50.5231,-0.102547,0.282815,0.620102,0.420996,-0.000324219,-2.32458e-06,0.000368804
143,97.379,50.5223,-0.101935,0.28251,0.620101,0.421364,-0.000304878,-8.9407e-07,0.000367194
144,97.3777,50.5214,-0.101316,0.282225,0.620102,0.421729,-0.000285566,5.96046e-07,0.000365615
145,97.3761,50.5205,-0.100689,0.281958,0.620104,0.422093,-0.000266284,2.20537e-06,0.000363946
146,97.3742,50.5197,-0.100055,0.281711,0.620108,0.422455,-0.000247151,3.93391e-06,0.000362307
147,97.372,50.5188,-0.0994129,0.281483,0.620113,0.422816,-0.000228703,5.42402e-06,0.000360668
148,97.3696,50.5179,-0.0987633,0.281272,0.62012,0.423175,-0.000210881,6.67572e-06,0.000358969
149,97.3669,50.5171,-0.0981068,0.281079,0.620128,0.423532,-0.000192702,7.7486e-06,0.00035733
150,97.3639,50.5163,-0.0974426,0.280904,0.620137,0.423888,-0.000175357,9.05991e-06,0.000355601
151,97.3607,50.5154,-0.0967712,0.280746,0.620147,0.424242,-0.000157773,1.03712e-05,0.000353903
152,97.3573,50.5146,-0.0960926,0.280605,0.620158,0.424594,-0.000141114,1.10865e-05,0.000352204
153,97.3538,50.5138,-0.0954067,0.28048,0.62017,0.424945,-0.000124723,1.21593e-05,0.000350446
154,97.35,50.513,-0.094714,0.280371,0.620183,0.425293,-0.000108778,1.31726e-05,0.000348717
155,97.3461,50.5123,-0.0940144,0.280278,0.620197,0.42564,-9.32217e-05,1.38879e-05,0.000346988
156,97.342,50.5115,-0.0933079,0.2802,0.620212,0.425986,-7.81715e-05,1.49012e-05,0.00034523
157,97.3378,50.5108,-0.0925941,0.280136,0.620228,0.426329,-6.3628e-05,1.56164e-05,0.000343442
158,97.3335,50.51,-0.0918739,0.280087,0.620244,0.426671,-4.95911e-05,1.5974e-05,0.000341684
159,97.3291,50.5093,-0.0911472,0.280051,0.62026,0.427011,-3.56138e-05,1.65105e-05,0.000339895
160,97.3246,50.5086,-0.090414,0.280029,0.620277,0.427349,-2.22921e-05,1.71065e-05,0.000338107
161,97.3201,50.5079,-0.089674,0.280019,0.620296,0.427685,-9.65595e-06,1.80602e-05,0.000336289
162,97.3154,50.5073,-0.0889278,0.280022,0.620314,0.428019,2.92063e-06,1.8239e-05,0.000334501
