t,y,error,u
2.840000,0.766663,0.241975,1.128745
2.850000,0.775202,0.233337,1.117504
2.860000,0.783640,0.224798,1.106377
2.870000,0.791977,0.216360,1.095367
2.880000,0.800213,0.208023,1.084475
2.890000,0.808346,0.199787,1.073703
2.900000,0.816377,0.191654,1.063053
2.910000,0.824305,0.183623,1.052527
2.920000,0.832129,0.175695,1.042125
2.930000,0.839850,0.167871,1.031851
2.940000,0.847467,0.160150,1.021705
2.950000,0.854979,0.152533,1.011689
2.960000,0.862386,0.145021,1.001804
2.970000,0.869689,0.137614,0.992052
2.980000,0.876886,0.130311,0.982434
2.990000,0.883978,0.123114,0.972950
3.000000,0.890965,0.116022,0.963604
3.010000,0.897846,0.109035,0.954395
3.020000,0.904621,0.102154,0.945324
3.030000,0.911290,0.095379,0.936394
3.040000,0.917853,0.088710,0.927603
3.050000,0.924311,0.082147,0.918955
3.060000,0.930662,0.075689,0.910449
3.070000,0.936908,0.069338,0.902086
3.080000,0.943047,0.063092,0.893866
3.090000,0.949081,0.056953,0.885792
3.100000,0.955009,0.050919,0.877863
3.110000,0.960832,0.044991,0.870079
3.120000,0.966549,0.039168,0.862442
3.130000,0.972161,0.033451,0.854952
3.140000,0.977668,0.027839,0.847610
3.150000,0.983070,0.022332,0.840414
3.160000,0.988367,0.016930,0.833368
3.170000,0.993560,0.011633,0.826469
3.180000,0.998649,0.006440,0.819719
3.190000,1.003634,0.001351,0.813118
3.200000,1.008515,-0.003634,0.806665
3.210000,1.013294,-0.008515,0.800362
3.220000,1.017969,-0.013294,0.794208
3.230000,1.022543,-0.017969,0.788202
3.240000,1.027014,-0.022543,0.782346
3.250000,1.031384,-0.027014,0.776639
3.260000,1.035653,-0.031384,0.771081
3.270000,1.039821,-0.035653,0.765671
3.280000,1.043889,-0.039821,0.760410
3.290000,1.047857,-0.043889,0.755297
3.300000,1.051727,-0.047857,0.750332
3.310000,1.055498,-0.051727,0.745515
3.320000,1.059171,-0.055498,0.740844
3.330000,1.062746,-0.059171,0.736321
3.340000,1.066225,-0.062746,0.731944
3.350000,1.069607,-0.066225,0.727713
3.360000,1.072894,-0.069607,0.723627
3.370000,1.076086,-0.072894,0.719686
