Time,y_stack,y_A,y_B
38.4,0.979876,0.999788,0.96073
38.5,0.980084,0.999793,0.961137
38.6,0.980291,0.999798,0.96154
38.7,0.980495,0.999803,0.961938
38.8,0.980697,0.999808,0.962332
38.9,0.980897,0.999813,0.962723
39,0.981095,0.999818,0.963109
39.1,0.981291,0.999822,0.963491
39.2,0.981485,0.999827,0.96387
39.3,0.981676,0.999831,0.964244
39.4,0.981866,0.999835,0.964614
39.5,0.982054,0.999839,0.964981
39.6,0.98224,0.999843,0.965344
39.7,0.982424,0.999847,0.965703
39.8,0.982606,0.999851,0.966058
39.9,0.982786,0.999855,0.96641
40,0.982965,0.999858,0.966758
40.1,0.983141,0.999862,0.967102
40.2,0.983316,0.999865,0.967443
40.3,0.983489,0.999869,0.967781
40.4,0.98366,0.999872,0.968114
40.5,0.983829,0.999875,0.968445
40.6,0.983997,0.999878,0.968772
40.7,0.984163,0.999881,0.969095
40.8,0.984327,0.999884,0.969415
40.9,0.984489,0.999887,0.969732
41,0.98465,0.99989,0.970046
41.1,0.984809,0.999893,0.970356
41.2,0.984966,0.999895,0.970663
41.3,0.985122,0.999898,0.970967
41.4,0.985276,0.999901,0.971268
41.5,0.985429,0.999903,0.971566
41.6,0.98558,0.999906,0.971861
41.7,0.985729,0.999908,0.972152
41.8,0.985877,0.99991,0.972441
41.9,0.986023,0.999912,0.972726
42,0.986168,0.999915,0.973009
42.1,0.986311,0.999917,0.973288
42.2,0.986453,0.999919,0.973565
42.3,0.986594,0.999921,0.973839
42.4,0.986733,0.999923,0.97411
42.5,0.98687,0.999925,0.974378
42.6,0.987006,0.999927,0.974644
42.7,0.987141,0.999928,0.974907
42.8,0.987274,0.99993,0.975167
42.9,0.987406,0.999932,0.975424
43,0.987536,0.999934,0.975679
43.1,0.987665,0.999935,0.975931
43.2,0.987793,0.999937,0.97618
43.3,0.98792,0.999939,0.976427
43.4,0.988045,0.99994,0.976671
43.5,0.988169,0.999942,0.976913
43.6,0.988291,0.999943,0.977152
