Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
94,140.047,127.966,-0.146872,0.592134,0.893605,0.788996,0.000144958,0.000896215,-0.000140905,0.0658917,-0.0404237,-0.00816636,0.593957,0.894317,0.788312
95,140.044,127.941,-0.146267,0.591817,0.89336,0.789077,-0.000316978,-0.000245571,8.14795e-05,0.0713253,-0.0384419,-0.00958666,0.59406,0.894325,0.788311
96,140.041,127.935,-0.146547,0.591752,0.893549,0.789062,-6.52671e-05,0.000188768,-1.50204e-05,0.0726201,-0.0453092,-0.00885089,0.594157,0.894333,0.788309
97,140.038,127.925,-0.146474,0.591673,0.893511,0.789083,-7.93338e-05,-3.79086e-05,2.07424e-05,0.0740021,-0.0460114,-0.00913991,0.594249,0.89434,0.788308
98,140.034,127.918,-0.146558,0.592453,0.894672,0.788761,0.000780404,0.00116163,-0.000322402,0.0609582,-0.0612743,-0.00277776,0.594336,0.894347,0.788307
99,140.031,127.912,-0.145622,0.592497,0.894313,0.788747,4.42266e-05,-0.000359833,-1.35303e-05,0.0598259,-0.0421029,-0.00373449,0.594418,0.894354,0.788306
100,140.027,127.928,-0.145889,0.593256,0.894977,0.788497,0.000758588,0.000664651,-0.00025022,0.0468086,-0.0430122,0.000439844,0.594496,0.89436,0.788305
101,140.024,127.935,-0.145288,0.59316,0.894499,0.788519,-9.56059e-05,-0.000478208,2.22921e-05,0.0480646,-0.022465,-0.00117213,0.59457,0.894366,0.788305
102,140.021,127.953,-0.145664,0.593571,0.894968,0.788327,0.000410855,0.000469387,-0.000192702,0.0410272,-0.0204433,0.00197959,0.59464,0.894371,0.788304
103,140.019,127.961,-0.145276,0.593477,0.894339,0.788406,-9.42349e-05,-0.000629067,7.98702e-05,0.0422066,-0.000440811,-0.000650847,0.594706,0.894376,0.788303
104,140.016,127.976,-0.145749,0.593826,0.89458,0.788317,0.000348806,0.000240803,-8.92282e-05,0.0362008,-0.00125379,0.000820004,0.594769,0.894381,0.788302
105,140.014,127.977,-0.145524,0.594087,0.894782,0.788221,0.000260711,0.000201821,-9.66787e-05,0.0316852,0.00118826,0.00228032,0.594829,0.894386,0.788302
106,140.012,127.983,-0.145346,0.594015,0.894411,0.788277,-7.14064e-05,-0.000371337,5.6088e-05,0.0326716,0.0118318,0.000645422,0.594885,0.89439,0.788301
107,140.011,127.992,-0.145634,0.594504,0.894682,0.788195,0.000488877,0.000271738,-8.19564e-05,0.0242587,0.00799434,0.00208523,0.594938,0.894395,0.7883
108,140.009,127.993,-0.145349,0.595877,0.896143,0.787735,0.00137269,0.00146085,-0.00045979,0.000935285,-0.00524795,0.0104781,0.594989,0.894399,0.7883
109,140.007,127.998,-0.144042,0.595971,0.895364,0.787785,9.41157e-05,-0.000778913,4.95911e-05,-0.00136255,0.0254606,0.00762953,0.595036,0.894402,0.788299
110,140.007,128.031,-0.144551,0.59618,0.89524,0.787749,0.000208974,-0.000123858,-3.52263e-05,-0.00518489,0.0355154,0.00753084,0.595082,0.894406,0.788299
111,140.006,128.045,-0.144587,0.596701,0.895775,0.787545,0.000521481,0.000534713,-0.000204086,-0.0141103,0.0354978,0.010949,0.595125,0.894409,0.788298
112,140.006,128.056,-0.1441,0.596734,0.895144,0.78763,3.27229e-05,-0.000631511,8.49962e-05,-0.0151423,0.0544274,0.00821354,0.595165,0.894413,0.788298
113,140.007,128.076,-0.144516,0.596212,0.894067,0.787925,-0.000522256,-0.00107688,0.000294507,-0.00657206,0.0684168,0.00228482,0.595204,0.894416,0.788297
114,140.007,128.082,-0.145365,0.596438,0.894702,0.787838,0.000226557,0.000635803,-8.70824e-05,-0.0100683,0.0485807,0.00495859,0.59524,0.894419,0.788297
115,140.008,128.067,-0.144877,0.596436,0.894595,0.787892,-2.26498e-06,-0.000107765,5.43594e-05,-0.0100449,0.0463776,0.00410078,0.595274,0.894421,0.788297
116,140.008,128.065,-0.144947,0.596276,0.894329,0.787998,-0.000160396,-0.000265479,0.000106335,-0.00732563,0.0453329,0.00231812,0.595307,0.894424,0.788296
117,140.009,128.062,-0.145161,0.597081,0.895503,0.787712,0.000804901,0.00117409,-0.0002864,-0.0207298,0.0244362,0.00835261,0.595338,0.894426,0.788296
118,140.009,128.054,-0.144169,0.59784,0.896047,0.787474,0.000759006,0.000543952,-0.000237823,-0.0338489,0.0276874,0.0120441,0.595367,0.894429,0.788296
119,140.01,128.069,-0.143608,0.596816,0.893867,0.787997,-0.00102359,-0.00218034,0.000522912,-0.017201,0.0659354,0.000752634,0.595395,0.894431,0.788295
120,140.011,128.093,-0.145317,0.597421,0.895195,0.787731,0.000605404,0.00132799,-0.000266373,-0.0269439,0.035566,0.00712189,0.595421,0.894433,0.788295
121,140.012,128.073,-0.144263,0.597931,0.895463,0.787631,0.000509202,0.000268459,-9.9659e-05,-0.0357416,0.0342358,0.00871932,0.595446,0.894435,0.788295
122,140.013,128.081,-0.143945,0.597258,0.894134,0.787974,-0.000672579,-0.00132918,0.000343025,-0.0247068,0.0544112,0.00161402,0.59547,0.894437,0.788295
123,140.014,128.093,-0.144991,0.596634,0.893641,0.788209,-0.000624478,-0.000493467,0.00023514,-0.0138945,0.04856,-0.00194984,0.595492,0.894438,0.788294
124,140.016,128.079,-0.145464,0.596805,0.894443,0.788101,0.000171244,0.000801802,-0.000107825,-0.0163005,0.0237062,0.00144403,0.595513,0.89444,0.788294
125,140.017,128.057,-0.144872,0.598039,0.896112,0.787646,0.00123447,0.00166947,-0.000455737,-0.0370074,0.00029743,0.0104706,0.595533,0.894442,0.788294
126,140.018,128.052,-0.143435,0.5979,0.895267,0.787749,-0.000138879,-0.000845015,0.000103593,-0.035214,0.0277058,0.00697747,0.595552,0.894443,0.788294
127,140.019,128.08,-0.144025,0.597572,0.894526,0.787935,-0.000328481,-0.000740707,0.000186145,-0.0298809,0.0394625,0.00305055,0.59557,0.894445,0.788293
128,140.02,128.089,-0.144589,0.59747,0.894409,0.788012,-0.000102282,-0.000117302,7.71284e-05,-0.0280839,0.0349867,0.00197655,0.595587,0.894446,0.788293
129,140.022,128.083,-0.144677,0.597921,0.895152,0.787851,0.000451148,0.000742853,-0.000161648,-0.0355194,0.0193085,0.00562282,0.595603,0.894447,0.788293
130,140.023,128.076,-0.144051,0.5978,0.894695,0.787958,-0.000120342,-0.00045681,0.000107586,-0.0336779,0.0272335,0.00324189,0.595618,0.894448,0.788293
131,140.025,128.083,-0.144372,0.598185,0.895251,0.787821,0.000384331,0.000556111,-0.000137508,-0.0400834,0.0175771,0.00611741,0.595633,0.89445,0.788293
132,140.026,128.082,-0.143887,0.598429,0.895436,0.787723,0.000244498,0.000185192,-9.82285e-05,-0.0443336,0.0211101,0.00755017,0.595646,0.894451,0.788293
133,140.028,128.091,-0.143684,0.599169,0.896063,0.787495,0.000739634,0.000626743,-0.000227273,-0.0570194,0.0189655,0.0113917,0.595659,0.894452,0.788293
134,140.03,128.103,-0.14306,0.598871,0.89499,0.787697,-0.000298202,-0.00107312,0.000201583,-0.0525046,0.0446464,0.00630878,0.595671,0.894453,0.788292
135,140.032,128.126,-0.143831,0.59915,0.89547,0.787575,0.000279427,0.000479937,-0.000122368,-0.057126,0.037021,0.00884669,0.595683,0.894454,0.788292
136,140.034,128.127,-0.143414,0.599042,0.895032,0.787672,-0.000108004,-0.000437677,9.69768e-05,-0.0554992,0.0454188,0.00662271,0.595694,0.894454,0.788292
137,140.037,128.136,-0.143709,0.599018,0.894945,0.787705,-2.39611e-05,-8.69632e-05,3.29614e-05,-0.0551101,0.0452216,0.00604657,0.595704,0.894455,0.788292
138,140.039,128.137,-0.143747,0.598584,0.894487,0.787858,-0.00043416,-0.00045836,0.000153661,-0.0477174,0.048108,0.00332185,0.595714,0.894456,0.788292
139,140.042,128.136,-0.144136,0.59786,0.893852,0.788115,-0.000724256,-0.00063467,0.000256479,-0.0352615,0.0465713,-0.000837659,0.595723,0.894457,0.788292
