Time,dx1,dx2,dx3,u1,u2,u3
192,0.000253966,7.3649e-05,5.32872e-09,0.119245,0.38063,0.12262
193,0.000240545,6.97568e-05,5.04808e-09,0.119246,0.38063,0.12262
194,0.000227832,6.60703e-05,4.78215e-09,0.119247,0.38063,0.12262
195,0.000215792,6.25787e-05,4.53016e-09,0.119248,0.38063,0.12262
196,0.000204388,5.92716e-05,4.29139e-09,0.119248,0.38063,0.12262
197,0.000193587,5.61392e-05,4.06516e-09,0.119249,0.38063,0.12262
198,0.000183356,5.31724e-05,3.85082e-09,0.119249,0.38063,0.12262
199,0.000173666,5.03624e-05,3.64773e-09,0.11925,0.38063,0.12262
200,0.000164488,4.77008e-05,3.45533e-09,0.119251,0.38063,0.12262
201,0.000155795,4.518e-05,3.27304e-09,0.119251,0.38063,0.12262
202,0.000147562,4.27923e-05,3.10035e-09,0.119252,0.38063,0.12262
203,0.000139764,4.05308e-05,2.93675e-09,0.119252,0.38063,0.12262
204,0.000132377,3.83889e-05,2.78176e-09,0.119252,0.38063,0.12262
205,0.000125382,3.63601e-05,2.63494e-09,0.119253,0.38063,0.12262
206,0.000118755,3.44386e-05,2.49585e-09,0.119253,0.38063,0.12262
207,0.00011248,3.26186e-05,2.36409e-09,0.119254,0.38063,0.12262
208,0.000106535,3.08948e-05,2.23927e-09,0.119254,0.38063,0.12262
209,0.000100905,2.92621e-05,2.12104e-09,0.119254,0.38063,0.12262
210,9.55725e-05,2.77156e-05,2.00904e-09,0.119255,0.38063,0.12262
211,9.05217e-05,2.62509e-05,1.90295e-09,0.119255,0.38063,0.12262
212,8.57379e-05,2.48636e-05,1.80245e-09,0.119255,0.38063,0.12262
213,8.12068e-05,2.35496e-05,1.70726e-09,0.119255,0.38063,0.12262
214,7.69152e-05,2.23051e-05,1.61709e-09,0.119256,0.38063,0.12262
215,7.28504e-05,2.11263e-05,1.53167e-09,0.119256,0.38063,0.12262
216,6.90005e-05,2.00098e-05,1.45077e-09,0.119256,0.38063,0.12262
217,6.53539e-05,1.89524e-05,1.37414e-09,0.119256,0.38063,0.12262
218,6.19001e-05,1.79508e-05,1.30155e-09,0.119256,0.38063,0.12262
219,5.86289e-05,1.70021e-05,1.23279e-09,0.119257,0.38063,0.12262
220,5.55305e-05,1.61036e-05,1.16766e-09,0.119257,0.38063,0.12262
221,5.25958e-05,1.52526e-05,1.10597e-09,0.119257,0.38063,0.12262
222,4.98162e-05,1.44465e-05,1.04754e-09,0.119257,0.38063,0.12262
223,4.71836e-05,1.3683e-05,9.92199e-10,0.119257,0.38063,0.12262
224,4.469e-05,1.29599e-05,9.39777e-10,0.119257,0.38063,0.12262
225,4.23283e-05,1.2275e-05,8.90124e-10,0.119258,0.38063,0.12262
226,4.00913e-05,1.16263e-05,8.43093e-10,0.119258,0.38063,0.12262
227,3.79726e-05,1.10119e-05,7.98546e-10,0.119258,0.38063,0.12262
228,3.59658e-05,1.04299e-05,7.56353e-10,0.119258,0.38063,0.12262
229,3.40651e-05,9.87874e-06,7.16388e-10,0.119258,0.38063,0.12262
230,3.22648e-05,9.35668e-06,6.78534e-10,0.119258,0.38063,0.12262
231,3.05597e-05,8.8622e-06,6.4268e-10,0.119258,0.38063,0.12262
232,2.89447e-05,8.39385e-06,6.08721e-10,0.119258,0.38063,0.12262
233,2.74151e-05,7.95025e-06,5.76555e-10,0.119258,0.38063,0.12262
234,2.59662e-05,7.5301e-06,5.46089e-10,0.119259,0.38063,0.12262
235,2.4594e-05,7.13215e-06,5.17232e-10,0.119259,0.38063,0.12262
236,2.32942e-05,6.75524e-06,4.899e-10,0.119259,0.38063,0.12262
237,2.20632e-05,6.39824e-06,4.64012e-10,0.119259,0.38063,0.12262
238,2.08972e-05,6.06011e-06,4.39492e-10,0.119259,0.38063,0.12262
239,1.97928e-05,5.73984e-06,4.16268e-10,0.119259,0.38063,0.12262
240,1.87468e-05,5.43651e-06,3.94271e-10,0.119259,0.38063,0.12262
241,1.77561e-05,5.1492e-06,3.73436e-10,0.119259,0.38063,0.12262
242,1.68177e-05,4.87708e-06,3.53701e-10,0.119259,0.38063,0.12262
243,1.5929e-05,4.61933e-06,3.3501e-10,0.119259,0.38063,0.12262
244,1.50871e-05,4.37521e-06,3.17306e-10,0.119259,0.38063,0.12262
245,1.42898e-05,4.14399e-06,3.00538e-10,0.119259,0.38063,0.12262
246,1.35346e-05,3.92499e-06,2.84656e-10,0.119259,0.38063,0.12262
247,1.28194e-05,3.71757e-06,2.69613e-10,0.119259,0.38063,0.12262
248,1.21419e-05,3.5211e-06,2.55365e-10,0.119259,0.38063,0.12262
249,1.15002e-05,3.33502e-06,2.4187e-10,0.119259,0.38063,0.12262
250,1.08925e-05,3.15877e-06,2.29088e-10,0.119259,0.38063,0.12262
